Question Name,Link,Difficulty
496. Next Greater Element I,https://leetcode.com/problems/next-greater-element-i,Easy
746. Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs,Easy
706. Design HashMap,https://leetcode.com/problems/design-hashmap,Easy
509. Fibonacci Number,https://leetcode.com/problems/fibonacci-number,Easy
1071. Greatest Common Divisor of Strings,https://leetcode.com/problems/greatest-common-divisor-of-strings,Easy
1233. Remove Sub-Folders from the Filesystem,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,Med.
28. Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Easy
39. Combination Sum,https://leetcode.com/problems/combination-sum,Med.
48. Rotate Image,https://leetcode.com/problems/rotate-image,Med.
92. Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii,Med.
100. Same Tree,https://leetcode.com/problems/same-tree,Easy
102. Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,Med.
151. Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string,Med.
217. Contains Duplicate,https://leetcode.com/problems/contains-duplicate,Easy
230. Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Med.
241. Different Ways to Add Parentheses,https://leetcode.com/problems/different-ways-to-add-parentheses,Med.
269. Alien Dictionary,https://leetcode.com/problems/alien-dictionary,Hard
438. Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string,Med.
472. Concatenated Words,https://leetcode.com/problems/concatenated-words,Hard
588. Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system,Hard
632. Smallest Range Covering Elements from K Lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,Hard
735. Asteroid Collision,https://leetcode.com/problems/asteroid-collision,Med.
428. Serialize and Deserialize N-ary Tree,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,Hard
912. Sort an Array,https://leetcode.com/problems/sort-an-array,Med.
921. Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,Med.
981. Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store,Med.
1405. Longest Happy String,https://leetcode.com/problems/longest-happy-string,Med.
1431. Kids With the Greatest Number of Candies,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies,Easy
1438. Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Med.
1482. Minimum Number of Days to Make m Bouquets,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,Med.
1942. The Number of the Smallest Unoccupied Chair,https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair,Med.
2416. Sum of Prefix Scores of Strings,https://leetcode.com/problems/sum-of-prefix-scores-of-strings,Hard
2877. Create a DataFrame from List,https://leetcode.com/problems/create-a-dataframe-from-list,Easy
6. Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion,Med.
10. Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching,Hard
19. Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Med.
29. Divide Two Integers,https://leetcode.com/problems/divide-two-integers,Med.
32. Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,Hard
38. Count and Say,https://leetcode.com/problems/count-and-say,Med.
74. Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,Med.
75. Sort Colors,https://leetcode.com/problems/sort-colors,Med.
76. Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring,Hard
78. Subsets,https://leetcode.com/problems/subsets,Med.
81. Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,Med.
91. Decode Ways,https://leetcode.com/problems/decode-ways,Med.
116. Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,Med.
118. Pascal's Triangle,https://leetcode.com/problems/pascals-triangle,Easy
125. Valid Palindrome,https://leetcode.com/problems/valid-palindrome,Easy
130. Surrounded Regions,https://leetcode.com/problems/surrounded-regions,Med.
136. Single Number,https://leetcode.com/problems/single-number,Easy
140. Word Break II,https://leetcode.com/problems/word-break-ii,Hard
152. Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,Med.
176. Second Highest Salary,https://leetcode.com/problems/second-highest-salary,Med.
188. Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,Hard
205. Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings,Easy
208. Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,Med.
221. Maximal Square,https://leetcode.com/problems/maximal-square,Med.
231. Power of Two,https://leetcode.com/problems/power-of-two,Easy
234. Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list,Easy
235. Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Med.
262. Trips and Users,https://leetcode.com/problems/trips-and-users,Hard
332. Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary,Hard
344. Reverse String,https://leetcode.com/problems/reverse-string,Easy
358. Rearrange String k Distance Apart,https://leetcode.com/problems/rearrange-string-k-distance-apart,Hard
412. Fizz Buzz,https://leetcode.com/problems/fizz-buzz,Easy
417. Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow,Med.
424. Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement,Med.
443. String Compression,https://leetcode.com/problems/string-compression,Med.
460. LFU Cache,https://leetcode.com/problems/lfu-cache,Hard
485. Max Consecutive Ones,https://leetcode.com/problems/max-consecutive-ones,Easy
539. Minimum Time Difference,https://leetcode.com/problems/minimum-time-difference,Med.
547. Number of Provinces,https://leetcode.com/problems/number-of-provinces,Med.
572. Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree,Easy
584. Find Customer Referee,https://leetcode.com/problems/find-customer-referee,Easy
670. Maximum Swap,https://leetcode.com/problems/maximum-swap,Med.
729. My Calendar I,https://leetcode.com/problems/my-calendar-i,Med.
752. Open the Lock,https://leetcode.com/problems/open-the-lock,Med.
794. Valid Tic-Tac-Toe State,https://leetcode.com/problems/valid-tic-tac-toe-state,Med.
796. Rotate String,https://leetcode.com/problems/rotate-string,Easy
622. Design Circular Queue,https://leetcode.com/problems/design-circular-queue,Med.
528. Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight,Med.
937. Reorder Data in Log Files,https://leetcode.com/problems/reorder-data-in-log-files,Med.
968. Binary Tree Cameras,https://leetcode.com/problems/binary-tree-cameras,Hard
1091. Shortest Path in Binary Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix,Med.
1331. Rank Transform of an Array,https://leetcode.com/problems/rank-transform-of-an-array,Easy
1174. Immediate Food Delivery II,https://leetcode.com/problems/immediate-food-delivery-ii,Med.
1209. Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Med.
1590. Make Sum Divisible by P,https://leetcode.com/problems/make-sum-divisible-by-p,Med.
1603. Design Parking System,https://leetcode.com/problems/design-parking-system,Easy
2696. Minimum String Length After Removing Substrings,https://leetcode.com/problems/minimum-string-length-after-removing-substrings,Easy
2938. Separate Black and White Balls,https://leetcode.com/problems/separate-black-and-white-balls,Med.
3163. String Compression III,https://leetcode.com/problems/string-compression-iii,Med.
18. 4Sum,https://leetcode.com/problems/4sum,Med.
24. Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,Med.
26. Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Easy
35. Search Insert Position,https://leetcode.com/problems/search-insert-position,Easy
40. Combination Sum II,https://leetcode.com/problems/combination-sum-ii,Med.
61. Rotate List,https://leetcode.com/problems/rotate-list,Med.
64. Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum,Med.
67. Add Binary,https://leetcode.com/problems/add-binary,Easy
72. Edit Distance,https://leetcode.com/problems/edit-distance,Med.
83. Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Easy
95. Unique Binary Search Trees II,https://leetcode.com/problems/unique-binary-search-trees-ii,Med.
97. Interleaving String,https://leetcode.com/problems/interleaving-string,Med.
101. Symmetric Tree,https://leetcode.com/problems/symmetric-tree,Easy
105. Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Med.
107. Binary Tree Level Order Traversal II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,Med.
113. Path Sum II,https://leetcode.com/problems/path-sum-ii,Med.
145. Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal,Easy
148. Sort List,https://leetcode.com/problems/sort-list,Med.
155. Min Stack,https://leetcode.com/problems/min-stack,Med.
165. Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers,Med.
173. Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator,Med.
187. Repeated DNA Sequences,https://leetcode.com/problems/repeated-dna-sequences,Med.
199. Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view,Med.
202. Happy Number,https://leetcode.com/problems/happy-number,Easy
211. Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure,Med.
214. Shortest Palindrome,https://leetcode.com/problems/shortest-palindrome,Hard
225. Implement Stack using Queues,https://leetcode.com/problems/implement-stack-using-queues,Easy
229. Majority Element II,https://leetcode.com/problems/majority-element-ii,Med.
261. Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree,Med.
327. Count of Range Sum,https://leetcode.com/problems/count-of-range-sum,Hard
328. Odd Even Linked List,https://leetcode.com/problems/odd-even-linked-list,Med.
339. Nested List Weight Sum,https://leetcode.com/problems/nested-list-weight-sum,Med.
340. Longest Substring with At Most K Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,Med.
373. Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,Med.
383. Ransom Note,https://leetcode.com/problems/ransom-note,Easy
416. Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,Med.
442. Find All Duplicates in an Array,https://leetcode.com/problems/find-all-duplicates-in-an-array,Med.
493. Reverse Pairs,https://leetcode.com/problems/reverse-pairs,Hard
503. Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii,Med.
1721. Swapping Nodes in a Linked List,https://leetcode.com/problems/swapping-nodes-in-a-linked-list,Med.
556. Next Greater Element III,https://leetcode.com/problems/next-greater-element-iii,Med.
570. Managers with at Least 5 Direct Reports,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Med.
605. Can Place Flowers,https://leetcode.com/problems/can-place-flowers,Easy
636. Exclusive Time of Functions,https://leetcode.com/problems/exclusive-time-of-functions,Med.
658. Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements,Med.
680. Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii,Easy
695. Max Area of Island,https://leetcode.com/problems/max-area-of-island,Med.
713. Subarray Product Less Than K,https://leetcode.com/problems/subarray-product-less-than-k,Med.
827. Making A Large Island,https://leetcode.com/problems/making-a-large-island,Hard
862. Shortest Subarray with Sum at Least K,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k,Hard
871. Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops,Hard
909. Snakes and Ladders,https://leetcode.com/problems/snakes-and-ladders,Med.
918. Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray,Med.
953. Verifying an Alien Dictionary,https://leetcode.com/problems/verifying-an-alien-dictionary,Easy
1010. Pairs of Songs With Total Durations Divisible by 60,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,Med.
1072. Flip Columns For Maximum Number of Equal Rows,https://leetcode.com/problems/flip-columns-for-maximum-number-of-equal-rows,Med.
1148. Article Views I,https://leetcode.com/problems/article-views-i,Easy
1193. Monthly Transactions I,https://leetcode.com/problems/monthly-transactions-i,Med.
1429. First Unique Number,https://leetcode.com/problems/first-unique-number,Med.
1378. Replace Employee ID With The Unique Identifier,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier,Easy
1497. Check If Array Pairs Are Divisible by k,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k,Med.
1679. Max Number of K-Sum Pairs,https://leetcode.com/problems/max-number-of-k-sum-pairs,Med.
1661. Average Time of Process per Machine,https://leetcode.com/problems/average-time-of-process-per-machine,Easy
1838. Frequency of the Most Frequent Element,https://leetcode.com/problems/frequency-of-the-most-frequent-element,Med.
2064. Minimized Maximum of Products Distributed to Any Store,https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store,Med.
2163. Minimum Difference in Sums After Removal of Elements,https://leetcode.com/problems/minimum-difference-in-sums-after-removal-of-elements,Hard
2275. Largest Combination With Bitwise AND Greater Than Zero,https://leetcode.com/problems/largest-combination-with-bitwise-and-greater-than-zero,Med.
2290. Minimum Obstacle Removal to Reach Corner,https://leetcode.com/problems/minimum-obstacle-removal-to-reach-corner,Hard
2530. Maximal Score After Applying K Operations,https://leetcode.com/problems/maximal-score-after-applying-k-operations,Med.
37. Sudoku Solver,https://leetcode.com/problems/sudoku-solver,Hard
44. Wildcard Matching,https://leetcode.com/problems/wildcard-matching,Hard
46. Permutations,https://leetcode.com/problems/permutations,Med.
77. Combinations,https://leetcode.com/problems/combinations,Med.
86. Partition List,https://leetcode.com/problems/partition-list,Med.
98. Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree,Med.
106. Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,Med.
110. Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree,Easy
115. Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences,Hard
120. Triangle,https://leetcode.com/problems/triangle,Med.
123. Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Hard
133. Clone Graph,https://leetcode.com/problems/clone-graph,Med.
137. Single Number II,https://leetcode.com/problems/single-number-ii,Med.
141. Linked List Cycle,https://leetcode.com/problems/linked-list-cycle,Easy
142. Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii,Med.
153. Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Med.
160. Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists,Easy
167. Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Med.
170. Two Sum III - Data structure design,https://leetcode.com/problems/two-sum-iii-data-structure-design,Easy
175. Combine Two Tables,https://leetcode.com/problems/combine-two-tables,Easy
183. Customers Who Never Order,https://leetcode.com/problems/customers-who-never-order,Easy
209. Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum,Med.
213. House Robber II,https://leetcode.com/problems/house-robber-ii,Med.
228. Summary Ranges,https://leetcode.com/problems/summary-ranges,Easy
